


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         6 -104.22          895          0.62           -0.12     108.53       1.09  MA_TrailingStopMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
        20 -106.82          895          0.72           -0.12     153.44       1.53 MA_TrailingStopMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
        36 -106.51          895          0.84           -0.12     187.75       1.86 MA_TrailingStopMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
        35 -107.82          895          0.83           -0.12     189.06       1.88  MA_TrailingStopMethod=18; MaxOrders=0; MaxOrdersPerType=0;
        41 -108.06          895          0.82           -0.12     191.58       1.90  MA_TrailingStopMethod=21; MaxOrders=0; MaxOrdersPerType=0;
        30 -110.23          895          0.71           -0.12     149.96       1.49 MA_TrailingStopMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
        27 -111.38          895          0.72           -0.12     171.16       1.70  MA_TrailingStopMethod=14; MaxOrders=0; MaxOrdersPerType=0;
         7 -112.12          895          0.72           -0.13     184.54       1.83   MA_TrailingStopMethod=4; MaxOrders=0; MaxOrdersPerType=0;
         3 -116.48          895          0.53           -0.13     123.74       1.24   MA_TrailingStopMethod=2; MaxOrders=0; MaxOrdersPerType=0;
         9 -118.66          895          0.76           -0.13     199.49       1.98   MA_TrailingStopMethod=5; MaxOrders=0; MaxOrdersPerType=0;
        50 -118.44          895          0.62           -0.13     135.03       1.35 MA_TrailingStopMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
         5 -119.99          895          0.58           -0.13     124.46       1.24   MA_TrailingStopMethod=3; MaxOrders=0; MaxOrdersPerType=0;
        37 -122.84          895          0.63           -0.14     147.35       1.47  MA_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=0;
        29 -123.84          895          0.68           -0.14     164.96       1.64  MA_TrailingStopMethod=15; MaxOrders=0; MaxOrdersPerType=0;
        49 -125.67          895          0.61           -0.14     147.02       1.47  MA_TrailingStopMethod=25; MaxOrders=0; MaxOrdersPerType=0;
        19 -128.53          895          0.68           -0.14     176.03       1.75  MA_TrailingStopMethod=10; MaxOrders=0; MaxOrdersPerType=0;
