


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       24 -1973.40        16665          0.66           -0.12    1979.13      19.78  Alligator5_SignalMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
       16 -2140.74        18037          0.66           -0.12    2147.36      21.46 Alligator5_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
       12 -2147.29        18057          0.66           -0.12    2153.91      21.53 Alligator5_SignalMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
       33 -2161.23        23355          0.77           -0.09    2241.41      22.24   Alligator5_SignalMethod=8; MaxOrders=0; MaxOrdersPerType=0;
       23 -2174.34        18708          0.65           -0.12    2181.14      21.80  Alligator5_SignalMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
       15 -2286.94        19844          0.65           -0.12    2292.54      22.91 Alligator5_SignalMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
       19 -2473.93        20697          0.64           -0.12    2478.59      24.78  Alligator5_SignalMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
       22 -2751.33        23685          0.66           -0.12    2757.53      27.56  Alligator5_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
       11 -2945.95        24341          0.64           -0.12    2947.69      29.47 Alligator5_SignalMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
       14 -3088.17        26931          0.66           -0.11    3093.13      30.92 Alligator5_SignalMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
       18 -3247.62        27359          0.64           -0.12    3252.22      32.51  Alligator5_SignalMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
        6 -3691.79        35204          0.74           -0.10    3753.96      37.31 Alligator5_SignalMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
        9 -3691.79        35204          0.74           -0.10    3753.96      37.31 Alligator5_SignalMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
        1 -3692.08        35430          0.74           -0.10    3754.06      37.31 Alligator5_SignalMethod=-29; MaxOrders=0; MaxOrdersPerType=0;
        3 -3692.08        35430          0.74           -0.10    3754.06      37.31 Alligator5_SignalMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
       10 -4233.00        34686          0.63           -0.12    4233.01      42.33 Alligator5_SignalMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
        7 -4318.88        41944          0.74           -0.10    4379.69      43.54 Alligator5_SignalMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
        2 -4345.28        43207          0.74           -0.10    4404.26      43.79 Alligator5_SignalMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
        8 -4797.17        49262          0.75           -0.10    4880.89      48.41 Alligator5_SignalMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
        5 -4809.70        49329          0.75           -0.10    4893.42      48.54 Alligator5_SignalMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
        4 -4826.84        45093          0.72           -0.11    4886.36      48.58 Alligator5_SignalMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
