


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
           7 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-45; MaxOrders=0; MaxOrdersPerType=0;
           6 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=0;
           5 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-90; MaxOrders=0; MaxOrdersPerType=0;
           4 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-116; MaxOrders=0; MaxOrdersPerType=0;
           3 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
           2 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-59; MaxOrders=0; MaxOrdersPerType=0;
           1 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-76; MaxOrders=0; MaxOrdersPerType=0;
          54 -193.68         1968          0.73           -0.10     215.42       2.15  MA15_SignalMethod=-62; MaxOrders=0; MaxOrdersPerType=0;
          53 -197.06         1794          0.69           -0.11     223.18       2.23   MA15_SignalMethod=64; MaxOrders=0; MaxOrdersPerType=0;
          60 -271.89         2166          0.66           -0.13     291.92       2.92 MA15_SignalMethod=-127; MaxOrders=0; MaxOrdersPerType=0;
          38 -271.89         2166          0.66           -0.13     291.92       2.92    MA15_SignalMethod=0; MaxOrders=0; MaxOrdersPerType=0;
