


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       20 -28.03          106          0.85           -0.26      65.58       0.66 WPR_TrailingProfitMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
       21 -29.69           80          0.84           -0.37      68.63       0.69  WPR_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
       22 -29.69           80          0.84           -0.37      68.63       0.69 WPR_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
        9 -29.47           67          0.84           -0.44      69.97       0.70   WPR_TrailingProfitMethod=5; MaxOrders=0; MaxOrdersPerType=0;
       10 -29.47           67          0.84           -0.44      69.97       0.70  WPR_TrailingProfitMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
       47 -30.60           39          0.77           -0.78      74.97       0.75  WPR_TrailingProfitMethod=24; MaxOrders=0; MaxOrdersPerType=0;
       48 -30.60           39          0.77           -0.78      74.97       0.75 WPR_TrailingProfitMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
       35 -31.99           40          0.77           -0.80      77.08       0.77  WPR_TrailingProfitMethod=18; MaxOrders=0; MaxOrdersPerType=0;
       36 -31.99           40          0.77           -0.80      77.08       0.77 WPR_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
       25 -31.78           40          0.77           -0.79      77.19       0.77  WPR_TrailingProfitMethod=13; MaxOrders=0; MaxOrdersPerType=0;
       26 -31.78           40          0.77           -0.79      77.19       0.77 WPR_TrailingProfitMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
       41 -32.30           40          0.77           -0.81      78.76       0.79  WPR_TrailingProfitMethod=21; MaxOrders=0; MaxOrdersPerType=0;
       42 -32.30           40          0.77           -0.81      78.76       0.79 WPR_TrailingProfitMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
       39 -33.63           85          0.82           -0.40      76.18       0.76  WPR_TrailingProfitMethod=20; MaxOrders=0; MaxOrdersPerType=0;
       40 -33.63           85          0.82           -0.40      76.18       0.76 WPR_TrailingProfitMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
       45 -34.31           39          0.74           -0.88      78.31       0.78  WPR_TrailingProfitMethod=23; MaxOrders=0; MaxOrdersPerType=0;
       46 -34.31           39          0.74           -0.88      78.31       0.78 WPR_TrailingProfitMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
        3 -34.27          191          0.83           -0.18      71.31       0.71   WPR_TrailingProfitMethod=2; MaxOrders=0; MaxOrdersPerType=0;
        4 -34.27          191          0.83           -0.18      71.31       0.71  WPR_TrailingProfitMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
       33 -35.76           40          0.74           -0.89      78.98       0.79  WPR_TrailingProfitMethod=17; MaxOrders=0; MaxOrdersPerType=0;
       34 -35.76           40          0.74           -0.89      78.98       0.79 WPR_TrailingProfitMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
       23 -35.73           40          0.74           -0.89      79.16       0.79  WPR_TrailingProfitMethod=12; MaxOrders=0; MaxOrdersPerType=0;
       24 -35.73           40          0.74           -0.89      79.16       0.79 WPR_TrailingProfitMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
       17 -35.42           39          0.73           -0.91      82.94       0.83   WPR_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=0;
       18 -35.42           39          0.73           -0.91      82.94       0.83  WPR_TrailingProfitMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
       11 -36.81           42          0.73           -0.88      80.58       0.81   WPR_TrailingProfitMethod=6; MaxOrders=0; MaxOrdersPerType=0;
       12 -36.81           42          0.73           -0.88      80.58       0.81  WPR_TrailingProfitMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
        7 -37.47           72          0.78           -0.52      72.70       0.73   WPR_TrailingProfitMethod=4; MaxOrders=0; MaxOrdersPerType=0;
        8 -37.47           72          0.78           -0.52      72.70       0.73  WPR_TrailingProfitMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
       37 -38.71           93          0.80           -0.42      81.60       0.82  WPR_TrailingProfitMethod=19; MaxOrders=0; MaxOrdersPerType=0;
       38 -38.71           93          0.80           -0.42      81.60       0.82 WPR_TrailingProfitMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
