


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         126 -262.81         2360          0.70           -0.11     285.52       2.86  WPR30_SignalMethod=62; MaxOrders=0; MaxOrdersPerType=0;
         127 -262.81         2360          0.70           -0.11     285.52       2.86  WPR30_SignalMethod=63; MaxOrders=0; MaxOrdersPerType=0;
          82 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=0;
          83 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
          86 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
          87 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=0;
          90 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=26; MaxOrders=0; MaxOrdersPerType=0;
          91 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=0;
          94 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=30; MaxOrders=0; MaxOrdersPerType=0;
          95 -262.22         2361          0.71           -0.11     285.52       2.86  WPR30_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=0;
          98 -265.67         2433          0.72           -0.11     282.94       2.83  WPR30_SignalMethod=34; MaxOrders=0; MaxOrdersPerType=0;
         121 -271.39         2346          0.70           -0.12     294.10       2.94  WPR30_SignalMethod=57; MaxOrders=0; MaxOrdersPerType=0;
         125 -271.39         2346          0.70           -0.12     294.10       2.94  WPR30_SignalMethod=61; MaxOrders=0; MaxOrdersPerType=0;
         100 -273.41         2398          0.71           -0.11     287.08       2.87  WPR30_SignalMethod=36; MaxOrders=0; MaxOrdersPerType=0;
          80 -273.36         2614          0.72           -0.10     284.43       2.84  WPR30_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=0;
          34 -274.34         2366          0.72           -0.12     274.77       2.75 WPR30_SignalMethod=-30; MaxOrders=0; MaxOrdersPerType=0;
          84 -278.14         2601          0.72           -0.11     286.67       2.87  WPR30_SignalMethod=20; MaxOrders=0; MaxOrdersPerType=0;
         113 -280.13         2359          0.70           -0.12     302.84       3.03  WPR30_SignalMethod=49; MaxOrders=0; MaxOrdersPerType=0;
         117 -280.13         2359          0.70           -0.12     302.84       3.03  WPR30_SignalMethod=53; MaxOrders=0; MaxOrdersPerType=0;
         116 -299.11         2390          0.69           -0.13     318.81       3.19  WPR30_SignalMethod=52; MaxOrders=0; MaxOrdersPerType=0;
         112 -300.80         2396          0.69           -0.13     320.50       3.20  WPR30_SignalMethod=48; MaxOrders=0; MaxOrdersPerType=0;
          96 -326.61         2507          0.68           -0.13     340.28       3.40  WPR30_SignalMethod=32; MaxOrders=0; MaxOrdersPerType=0;
